ticker,empresa,data
AGRO3,BRASILAGRO,05/02/2026
BBSE3,BB SEGURIDADE,03/08/2026
ISAE4,ISA ENERGIA BRASIL,03/08/2026
PGMN3,EMPREENDIMENTOS PAGUE MENOS S.A.,03/08/2026
POMO4,MARCOPOLO,03/08/2026
TGMA3,TEGMA GESTAO LOGISTICA,03/08/2026
CBAV3,COMPANHIA BRASILEIRA DE ALUMINIO,04/08/2026
CEAB3,CEA MODAS,04/08/2026
GGBR4,GERDAU,04/08/2026
GOAU4,METALURGICA GERDAU,04/08/2026
IGTI3,JEREISSATI,04/08/2026
ITUB4,BANCO ITAU UNIBANCO,04/08/2026
PCAR3,CIA BRASILEIRA DE DISTRIBUICAO,04/08/2026
PRIO3,PETRO RIO,04/08/2026
RADL3,RAIA DROGASIL,04/08/2026
TEND3,CONSTRUTORA TENDA,04/08/2026
VULC3,VULCABRAS,04/08/2026
ALPK3,ALLPARK EMPREENDIMENTOS (ESTAPAR),05/08/2026
ANIM3,ANIMA,05/08/2026
AURE3,AUREN ENERGIA,05/08/2026
BBDC4,BRADESCO,05/08/2026
CASH3,MELIUZ,05/08/2026
CPLE3,COPEL,05/08/2026
EGIE3,ENGIE BRASIL,05/08/2026
GUAR3,GUARARAPES CONFECCOES,05/08/2026
KLBN11,KLABIN,05/08/2026
LAVV3,LAVVI,05/08/2026
MERC4,MERCANTIL DO BRASIL FINANCEIRA,05/08/2026
MILS3,MILLS,05/08/2026
MYPK3,IOCHPE MAXION,05/08/2026
NGRD3,NEOGRID,05/08/2026
ODPV3,ODONTOPREV,05/08/2026
PDTC3,PADTEC HOLDING,05/08/2026
SMFT3,SMARTFIT,05/08/2026
TOTS3,TOTVS,05/08/2026
VIVA3,VIVARA,05/08/2026
VLID3,VALID,05/08/2026
ABCB4,BANCO ABC BRASIL,06/08/2026
ALOS3,ALLOS,06/08/2026
ALPA4,ALPARGATAS,06/08/2026
ALUP11,ALUPAR,06/08/2026
ASAI3,SENDAS DISTRIBUIDORA (ASSAI),06/08/2026
BRBI11,BR ADVISORY PARTNERS,06/08/2026
ENGI11,ENERGISA,06/08/2026
EZTC3,EZ TEC,06/08/2026
FLRY3,FLEURY,06/08/2026
GRND3,GRENDENE,06/08/2026
HBRE3,HBR REALTY,06/08/2026
HYPE3,HYPERA,06/08/2026
LJQQ3,LOJAS QUERO-QUERO,06/08/2026
LOGG3,LOG COMMERCIAL PROPERTIES,06/08/2026
LREN3,LOJAS RENNER,06/08/2026
MGLU3,MAGAZINE LUIZA,06/08/2026
MTRE3,MITRE REALTY,06/08/2026
OFSA3,OURO FINO SAUDE ANIMAL,06/08/2026
OPCT3,OCEANPACT,06/08/2026
PETR4,PETROBRAS,06/08/2026
PNVL4,DIMED,06/08/2026
RENT3,LOCALIZA,06/08/2026
TUPY3,TUPY,06/08/2026
WIZC3,WIZ CO,06/08/2026
GOLL54,GOL,07/08/2026
PMAM3,PARANAPANEMA,07/08/2026
PSSA3,PORTO SEGURO,07/08/2026
BPAN4,BANCO PAN,10/08/2026
CXSE3,CAIXA SEGURIDADE,10/08/2026
EMBJ3,EMBRAER,10/08/2026
